id;nom;adresse;ville;code_postal;telephone
3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;Cabinet Bigot;63, rue de Mercier;Paris;75 002;01 02 03 04 05
372c1de7-4d31-3d01-9c92-77e69467d4e3;Cabinet Toussaint Marechal;290, rue Rossi;Joubert;54 543;+33 03 83 56 78 98
255ecef6-14b9-3b5c-a40e-901665f4ed28;Pichon Santé;93, impasse Alain Baron;Diaz-sur-Boulanger;48 987;01 02 04 50 37
80756589-93f3-3ab7-92dd-377dbea5ea4d;Maison Médiacle Parent - Lucas;4, impasse de Denis;Lucas;63 220;03 87 56 54 34
5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;Maison de Santé de Care-Sur_Turpin;35, impasse Lebon;Carre-sur-Turpin;57 345;03 87 45 65 34
c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;Babinet Antoine;97, avenue Raymond Gerard;Moreno;34 657;06 76 56 34 32
b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;SOS Médecins Lefevre;23, avenue Mercier;Lefevre;56 780;01 03 900 000
7db214d9-f415-3110-991b-ec5f9774b685;Urgences Marin;96, rue Louis;Bourdon-les-Bains;71 344;09 78 67 54 43
a51a0543-ee80-3515-81ab-2504ec194c09;Maison Santé Lombard;17, chemin de Bazin;Paris-la-Forêt;76 800;01 328 328 00
fe6e7644-9e58-3b57-9734-f201766d4d75;Urgences médicales Bouchet;53, rue Toussaint;Bouchet;89 200;01 02 03 15 15
9117850b-3116-3d4f-b346-1dfc23c26787;Cabinet Médical Vaillant;68, avenue Élise Dupre;LemonnierBourg;67 200;03 82 34 54 67
bee7989a-c204-3cf7-bbfc-42a9ce8456ea;Cabinet Médical Martineau;31, boulevard Éric Pierre;Royer;21 330;03 87 34 55 55
55ee31cb-9fb6-3513-b209-e2804d02c11e;Fischer Médecins, Ruiz;83, place de Lefort;Ruiz;64 320;04 82 25 25 25
e65145bb-ce57-4320-b0a8-6c0ba06def6d;Radio Plus;1 rue de la santé;Nancy;54 000;03 43 56 65 54
